gene_id	gene_name	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000035783	Acta2	2082.0868630161312	-3.4892702080558746	0.10089605849994211	1.133032149707383e-264	1.699888134205987e-260
ENSMUSG00000032366	Tpm1	5066.612340554619	-1.8416405645647733	0.06379059163705998	2.4901046424195216e-184	1.867951997511004e-180
ENSMUSG00000032085	Tagln	1695.8616336740592	-2.676460981479623	0.10510525561862867	1.393309087793981e-144	6.967938748057699e-141
ENSMUSG00000031438	Rnf128	1358.6635751254505	-2.0313733883695613	0.08418688949050189	1.0775090405435672e-129	4.0414670338187845e-126
ENSMUSG00000003153	Slc2a3	5853.268160792507	-1.5932993470876593	0.07055787622300864	4.425277536302109e-114	1.3278487775428108e-110
ENSMUSG00000040152	Thbs1	959.0682538034768	-2.1956226622264206	0.09884011688840559	1.893509097291239e-110	4.7347194977767434e-107
ENSMUSG00000039405	Prss23	805.7024281873518	-2.417265596832432	0.11078708278726226	7.895618643847988e-107	1.6922566644807338e-103
ENSMUSG00000025068	Gsto1	790.7697339452452	-2.350785659721422	0.10791133055890519	1.9135614276340926e-106	3.588645262349286e-103
ENSMUSG00000026970	Rbms1	2552.651870565385	-1.6282221891115258	0.07519454455389199	3.937556535321866e-105	6.56390674438155e-102
ENSMUSG00000015143	Actn1	5033.20302891482	-1.4460915322576728	0.06958581051271563	3.6595040482182253e-97	5.490353923541803e-94
ENSMUSG00000001506	Col1a1	363.323419744854	-2.476833537165499	0.12158861852477255	1.374068534519825e-93	1.8741045657637216e-90
ENSMUSG00000037428	Vgf	819.9802269407185	-2.0481117265644344	0.10433069436993635	7.129546088364105e-87	8.913714996977222e-84
ENSMUSG00000049382	Krt8	3123.3783332921976	-2.019589284820391	0.10302413743251312	1.2507833114744746e-86	1.4435001555424263e-83
ENSMUSG00000029484	Anxa3	608.7605874400316	-1.8474997015175936	0.09518043321989786	5.344278523345851e-85	5.727157906125557e-82
ENSMUSG00000023043	Krt18	1196.138343942456	-2.127124212300275	0.11024115362315703	4.693866291487722e-84	4.694805064746019e-81
ENSMUSG00000028173	Wls	378.02389607333964	-2.462115053299968	0.12844988790691841	3.16606021265183e-83	2.968775085650963e-80
