gene_id	gene_name	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000031	H19	2692.576642590046	2.0800433176817705	0.08464237593346652	9.982149948735318e-134	1.234791948658559e-129
ENSMUSG00000019817	Plagl1	270.9049060606188	1.940035053126949	0.1619796339656531	1.2244728851034252e-33	7.573364794364684e-30
ENSMUSG00000020077	Srgn	86.79739862789806	3.3144935705142586	0.3259590324928768	2.9222193472148983e-25	1.2049284441682763e-21
ENSMUSG00000085208	Brip1os	58.50377889218768	-4.4797695769902175	0.48217469069062474	2.3542320438640915e-22	7.280462595649703e-19
ENSMUSG00000037411	Serpine1	618.6859976743291	0.8147805575542977	0.09079729387105408	1.6362426657571047e-21	4.048064355083077e-18
ENSMUSG00000037428	Vgf	819.9802269407185	0.8732653818513747	0.10726607172297202	8.754683288369073e-19	1.804923871285424e-15
ENSMUSG00000046323	Dppa3	253.13617194038017	-1.4670563130325636	0.20992720016612695	3.9510947875754025e-16	6.982148931758247e-13
ENSMUSG00000032060	Cryab	2018.8940676931013	0.7513569787085007	0.10274678133897533	3.0050659361101995e-15	4.646583203710396e-12
ENSMUSG00000030352	Tspan9	1917.869658546565	0.522860325546119	0.0715974439514665	6.501924526580002e-15	8.936534043754957e-12
ENSMUSG00000073125	Xlr3b	68.4461987947796	2.267158624972773	0.3054175434556481	2.604839713417812e-14	3.222186725497833e-11
ENSMUSG00000062327	T	72.13689019466291	-2.2080689953576815	0.30332479787505223	6.537279313354573e-14	7.351467736926915e-11
ENSMUSG00000069045	Ddx3y	199.44666635090582	1.2855226964293864	0.22086662662633608	1.9494094045385897e-13	2.0095161945118628e-10
ENSMUSG00000031502	Col4a1	370.32439787858675	0.8011729209180727	0.12635852105973974	1.2233983827418244e-12	1.080959856751169e-9
ENSMUSG00000020184	Mdm2	1169.0429881842658	0.5733939680581605	0.08721368568647375	1.2140855280378371e-12	1.080959856751169e-9
ENSMUSG00000031503	Col4a2	375.5332317985655	0.7567876710767721	0.11995804685379771	2.554069280085083e-12	2.1062557996434984e-9
ENSMUSG00000002265	Peg3	754.8529950903838	0.7883859538666879	0.12646791072131625	2.7995837521863953e-12	2.164428188409107e-9
ENSMUSG00000034329	Brip1	27.53785482745436	-4.052569862230924	0.6357049503989991	5.140361687197857e-12	3.740369062978676e-9
ENSMUSG00000018217	Pmp22	501.67672746732234	0.6637862609931429	0.10532428311100578	5.80971458704395e-12	3.992564968985203e-9
ENSMUSG00000025902	Sox17	68.82984187248556	2.298449112965429	0.3593604342426313	2.2291651959530158e-11	1.4513038670494108e-8
ENSMUSG00000093847	Gm5039	126.80586596670466	1.0711291451707823	0.20961021912282105	3.3793459838649647e-11	2.0901254910204808e-8
ENSMUSG00000031438	Rnf128	1358.6635751254505	0.5005383844252462	0.0871996038077896	1.0958730784840007e-10	6.455214276593851e-8
ENSMUSG00000030208	Emp1	626.3004846768725	0.5480867465152888	0.09637087906584538	2.0379675567985716e-10	1.1124221575522036e-7
ENSMUSG00000021268	Meg3	873.6637257778691	-0.6646192057499104	0.1169747348330835	2.0683677949636768e-10	1.1124221575522036e-7
ENSMUSG00000029447	Cct6a	11792.052190645267	-0.4122276349503982	0.07594525713846519	2.5166619687948554e-10	1.297129523083015e-7
ENSMUSG00000052534	Pbx1	474.14492543555457	0.6709398786961128	0.12112818271409247	4.2685414731899923e-10	2.1120743209344084e-7
ENSMUSG00000044068	Zrsr1	221.51943668211052	0.7967613410514442	0.15380409974840129	8.765826782846275e-10	4.1705106655310933e-7
ENSMUSG00000090877	Hspa1b	515.2178189984919	-0.5333592181404915	0.10225995431373455	2.125969092500061e-9	9.74008802749102e-7
ENSMUSG00000030590	Fam98c	237.14960978969668	-0.693310201051709	0.1402980241349103	6.779616888271838e-9	2.9951378895686658e-6
ENSMUSG00000027562	Car2	1312.662067382041	-0.4101710790401018	0.08637989809803241	8.418250597849197e-9	3.5908193067377436e-6
ENSMUSG00000058147	Xlr3c	48.161047054609796	1.994654049133991	0.42651976017855286	1.4007870370589508e-8	5.7759118828064064e-6
ENSMUSG00000035783	Acta2	2082.0868630161312	0.4739897897710926	0.10489819796450915	3.692254312029533e-8	1.4733285754775912e-5
ENSMUSG00000047139	Cd24a	1183.9393610269603	0.4715325556626418	0.10616135692029058	5.08188822420495e-8	1.964467416669226e-5
ENSMUSG00000041287	Sox15	400.5676902742608	-0.6094119058301315	0.135939129623518	6.176348840464773e-8	2.315195004743917e-5
ENSMUSG00000017493	Igfbp4	515.7489810084473	0.7397600524268337	0.17421640156557855	7.957397436627268e-8	2.895088420325862e-5
ENSMUSG00000097391	Mirg	165.08921862192898	-0.7530181999896072	0.1803896247572651	9.206680145114796e-8	3.2539038112877154e-5
ENSMUSG00000031762	Mt2	3635.433559149346	-0.39313748492095907	0.0936654984258274	1.0253775894283175e-7	3.5233113281189685e-5
ENSMUSG00000001864	Aif1l	256.996712193811	0.5863715803294082	0.13524629927453233	1.1059691942551377e-7	3.697524035928663e-5
ENSMUSG00000022150	Dab2	209.1246192473675	0.6859548113683216	0.16163039502223434	1.1525674478425977e-7	3.751910349950772e-5
ENSMUSG00000039323	Igfbp2	701.6506114176179	0.44556375988387	0.10771405042208747	1.617101425400871e-7	5.1291140082586604e-5
ENSMUSG00000020471	Pold2	451.50503019922536	-0.5350720753623726	0.1281391537541717	1.9198184773236497e-7	5.9370386411233864e-5
ENSMUSG00000053175	Bcl3	356.5610737810316	-0.5948612281201455	0.14612017666467036	2.8743374266758266e-7	8.672086333653652e-5
ENSMUSG00000026249	Serpine2	254.50848976743004	0.7309676465859284	0.1918052748298766	3.5586244768872937e-7	1.0480996375975195e-4
ENSMUSG00000039405	Prss23	805.7024281873518	0.46452976109836996	0.12110247790841973	5.710003145907778e-7	1.6426218352297493e-4
ENSMUSG00000021668	Polk	204.14107187582331	0.5724067418538262	0.14877052311546918	6.282779157719974e-7	1.766317685931729e-4
ENSMUSG00000005533	Igf1r	520.3227937267008	0.49976337790226943	0.13076427902952706	6.553046849053581e-7	1.8013597671731734e-4
ENSMUSG00000039286	Fndc3b	371.53292558292435	0.5077033089258632	0.13406824806355955	7.525139142728791e-7	2.0236080694685903e-4
ENSMUSG00000057836	Xlr3a	132.23984632496024	0.7261596520031856	0.2052354697121569	8.045234553130325e-7	2.1174372643025983e-4
ENSMUSG00000034274	Thoc5	278.3848640695276	-0.5321751434126898	0.14154129521422726	8.475753141903963e-7	2.1842722159448336e-4
ENSMUSG00000067768	Xlr4b	30.535399122844357	1.7300670319030353	0.6068581633508162	8.653598908708648e-7	2.1845922143005303e-4
ENSMUSG00000050705	2310061I04Rik	937.3675554544677	-0.45081333279392366	0.12267726045647263	1.0094855857369673e-6	2.497467339113257e-4
ENSMUSG00000066652	Lefty2	174.05380819650048	-0.6885450628397904	0.20029574791797838	1.3533458275183547e-6	3.282527036549421e-4
ENSMUSG00000022139	Mbnl2	348.07499033116665	0.5705170592465113	0.1598056684728729	1.522699617229371e-6	3.6222681279091e-4
ENSMUSG00000020415	Pttg1	1277.4553105318926	-0.31679379059931523	0.08739937681684283	1.6109997317506318e-6	3.760012581463267e-4
ENSMUSG00000038418	Egr1	118.52201924399283	-0.649452827837722	0.19296012305473065	2.043704411758775e-6	4.681596958047416e-4
ENSMUSG00000028347	Tmeff1	408.9014048856304	0.4601343945635411	0.1327378948118115	2.1619467192603883e-6	4.8181451680671435e-4
ENSMUSG00000091243	Vgll3	172.8838661016203	0.5750744632084595	0.1668666584557082	2.1812136573303156e-6	4.8181451680671435e-4
ENSMUSG00000052684	Jun	932.4400353075048	0.4167764938626417	0.12165391740667367	2.4265425897490014e-6	5.266023128981604e-4
ENSMUSG00000048583	Igf2	3182.3679441831277	0.3055929638040456	0.08611999085732305	2.5073711300633488e-6	5.34761739291097e-4
ENSMUSG00000076441	Ass1	900.2579335506466	0.40886586752772813	0.12026567386526746	2.672390110417273e-6	5.509577610976944e-4
ENSMUSG00000051495	Irf2bp2	391.4276869563443	0.47805877230545735	0.1402851447045826	2.6705653370855417e-6	5.509577610976944e-4
ENSMUSG00000027955	Gask1b	125.28208416590749	0.611891328693646	0.19020358169047996	3.5990304622964145e-6	7.298361773542073e-4
ENSMUSG00000026385	Dbi	1102.4136885831115	0.30562307124270144	0.08921641810274604	4.078730108506787e-6	8.034212365661549e-4
ENSMUSG00000021953	Tdh	1060.93084739796	-0.3276885482628716	0.09742770521688932	4.111604967904656e-6	8.034212365661549e-4
ENSMUSG00000005124	Ccn4	739.6676319448371	0.5075800670561555	0.15540808954911697	4.15674689896798e-6	8.034212365661549e-4
ENSMUSG00000030060	Hmces	466.11026198830194	-0.5945609151874679	0.18704951065291184	4.276535234265225e-6	8.138575515055513e-4
ENSMUSG00000032487	Ptgs2	56.513487502846154	0.8427421337325641	0.3488777360971138	4.48149506843066e-6	8.387310851303717e-4
ENSMUSG00000067276	Capn6	136.1520069443395	0.74582912822119	0.273197385464369	4.542844195936532e-6	8.387310851303717e-4
ENSMUSG00000046598	Bdh1	129.3365303539707	-0.6355827944697593	0.21003522710257677	5.091448326203198e-6	9.261943499284347e-4
ENSMUSG00000014599	Csf1	334.19519158183016	0.4185685793470461	0.13169044579881525	5.828018804501166e-6	0.0010268803273105356
ENSMUSG00000036676	Tmtc3	527.4323672352347	0.3471348677196883	0.10741204012525019	5.893977626438806e-6	0.0010268803273105356
ENSMUSG00000072553	Gm525	33.483194211193556	1.0760191291015575	0.551099032021595	5.789182753400439e-6	0.0010268803273105356
ENSMUSG00000020225	Tmbim4	340.2054660074968	0.41620731954024925	0.13195239649108714	6.3471560332702374e-6	0.0010783234948515234
ENSMUSG00000024376	Epb41l4a	611.9489858105247	0.3619947170534609	0.11345809345615729	6.363590551670268e-6	0.0010783234948515234
ENSMUSG00000075304	Sp5	58.76080743048293	-0.7500286869239555	0.30382442986574026	7.2162163219710266e-6	0.001190194612037088
ENSMUSG00000000740	Rpl13	8412.409436041484	-0.22871699277789317	0.06191013539535673	7.173710474268612e-6	0.001190194612037088
ENSMUSG00000031169	Porcn	255.3666000986143	-0.5073142431518882	0.16504031152635237	7.340424676648352e-6	0.0011947507006597384
ENSMUSG00000003051	Elf3	1493.5024450074109	0.3479474126378812	0.11234543487541233	9.605952418031181e-6	0.0015234055309108424
ENSMUSG00000026879	Gsn	1760.2902281374695	0.4924956095693159	0.1644776569682749	9.49936774455744e-6	0.0015234055309108424
ENSMUSG00000062867	Impdh2	1030.981673435026	-0.29008054269543865	0.08917090632406938	9.790121728271154e-6	0.0015329595668191667
ENSMUSG00000038717	Atp5l	2644.7722805552753	0.2424187431521311	0.06911819445350743	1.011145552473141e-5	0.0015634838105115943
ENSMUSG00000023942	Slc29a1	2181.893801524823	-0.3835926879482897	0.12653190999759556	1.0342318175421411e-5	0.001579437973209418
ENSMUSG00000079029	Gm5662	180.70459453715944	0.5595804873143319	0.19456713449691299	1.0552388791483788e-5	0.0015819296255437042
ENSMUSG00000036533	Cdc42ep3	284.81341158236353	0.4510501319571136	0.15126845670924324	1.06144024996061e-5	0.0015819296255437042
