entrez,n_g4,bucket,symbol,baseMean
100009600,24,4+,Zglp1,93.5136296774252
100009609,0,0,Vmn2r65,NA
100009614,0,0,Krtap12-22,NA
100009664,6,4+,F630206G17Rik,NA
100012,0,0,Oog3,NA
100017,4,4+,Ldlrap1,171.90260361332216
100019,7,4+,Mdn1,1987.3959245060976
100033459,0,0,Ifi208,NA
100034251,1,1,Wfdc17,NA
100034361,9,4+,Mfap1b,158.39905041897907
100034363,0,0,Tmsb15b2,146.20297720504334
100034684,0,0,Cstdc5,NA
100034726,13,4+,Gm15772,NA
100034729,0,0,Gm15114,NA
100034748,22,4+,Prr35,NA
100036518,0,0,Vmn1r223,NA
100036520,0,0,Gata5os,NA
100036521,17,4+,Umad1,11.27960263598342
100036523,8,4+,Gm16982,NA
100036537,4,4+,Gm11149,NA
100036768,17,4+,Gm11696,5.5454168573202605
100037258,0,0,Dnajc3,158.7687413209721
100037260,5,4+,9430060I03Rik,2.346099475406747
100037262,0,0,Gm12359,0.9973036879547144
100037278,0,0,Niban3,NA
100037282,0,0,Rsph3b,14.390040130510185
100037283,26,4+,Rnaset2a,96.4247679078481
100037396,5,4+,D030047H15Rik,NA
100038347,0,0,Fam174b,6.549166561797604
100038353,5,4+,Gm10532,1.3740413828886742
100038356,18,4+,Gm15612,NA
100038358,3,3,Gm10857,NA
100038363,0,0,Mir223hg,NA
100038371,6,4+,Zfp389,NA
100038374,0,0,Gm10714,NA
100038378,7,4+,Gm10433,2.156523387331117
100038392,13,4+,Gm10785,NA
100038394,1,1,Gm10512,NA
100038417,0,0,Spink13,NA
100038439,15,4+,Gm10556,NA
100038453,0,0,Gm12522,NA
100038454,0,0,Platr8,0.8804261258955632
100038464,0,0,Gm15441,1.348084511631731
100038468,4,4+,Gm10684,NA
100038479,0,0,Gm10787,NA
100038489,0,0,Apela,796.5393791523247
100038493,0,0,Gm13582,NA
100038494,6,4+,Gm10782,NA
100038514,23,4+,Gm11837,19.3256409565244
100038516,0,0,Gm10640,NA
100038522,1,1,Dnmt3aos,NA
100038525,0,0,Gm10804,NA
100038526,0,0,Gm16008,NA
100038538,0,0,Ramacl,NA
100038545,0,0,Gm10745,NA
100038554,0,0,Gm15348,NA
100038555,0,0,Gm10578,NA
100038556,0,0,Gm10445,NA
100038560,0,0,Gm10687,1.5109433545808018
100038566,22,4+,Gm10658,2.9488498391199776
100038570,0,0,Prcd,10.94627671745097
100038571,0,0,Gm12863,NA
100038574,0,0,Gm10415,NA
100038575,0,0,Gm10635,NA
100038577,0,0,Gm10790,NA
100038584,4,4+,Gm14812,NA
100038591,0,0,F420014N23Rik,NA
100038595,0,0,Gm16287,NA
100038599,0,0,Gm10710,NA
100038600,0,0,Gm11529,NA
100038602,28,4+,Gm10865,NA
100038607,0,0,Gm10636,NA
100038608,3,3,Gm10389,NA
100038614,4,4+,Gm10791,NA
100038617,0,0,Gm10466,NA
100038623,0,0,Gm10823,NA
100038627,0,0,F630042J09Rik,1.5605227241688355
100038628,4,4+,Gm10768,NA
100038653,3,3,Gm10538,NA
100038654,0,0,Gm10371,NA
100038657,4,4+,Myocos,NA
100038659,0,0,Mirt2,NA
100038666,0,0,Gm12298,NA
100038689,0,0,Gm10421,NA
100038690,3,3,Gm10732,NA
100038693,0,0,Tmem51os1,1.830286928163008
100038699,0,0,Gm10754,NA
100038706,0,0,Gm10637,NA
100038712,0,0,Gm10516,NA
100038713,0,0,Gm10432,3.168350900414424
100038714,0,0,Gm15401,NA
100038725,19,4+,Cep85l,24.433559631361906
100038728,0,0,Gm10373,NA
100038732,0,0,Gm11681,NA
100038734,0,0,Gm10845,NA
100038743,0,0,Gm13629,NA
100038746,0,0,Gm1976,3.560514841661823
100038752,0,0,Gm10825,NA
100038847,0,0,Gm10406,2.8347196458444976
100038854,0,0,Cstdc6,NA
100038859,0,0,Or10h1b,NA
100038860,0,0,Or10h1,NA
100038862,0,0,Btnl1,0.9119878245430636
100038882,0,0,Isg15,2.3310760850220418
100038909,0,0,Pira12,NA
100038912,18,4+,Ceacam-ps1,NA
100038927,0,0,Defa30,NA
100038941,0,0,Vmn2r121,NA
100038947,0,0,Sirpb1c,NA
100038948,1,1,Mup9,NA
100038949,0,0,Gm1979,NA
100038977,0,0,Gm1993,NA
100038982,0,0,Gm1995,NA
100039008,0,0,Mup10,NA
100039027,2,2,Gm2011,NA
100039028,0,0,Mup11,NA
100039030,0,0,Gm2012,NA
100039042,0,0,Eif1ad3,NA
100039043,0,0,Gm10731,NA
100039045,0,0,Speer4a2,NA
100039054,0,0,Mup12,NA
100039055,0,0,Gm16404,NA
100039060,0,0,Gm2026,NA
100039062,0,0,Gm2027,NA
100039065,0,0,Gm2030,NA
100039087,0,0,Gm2042,NA
100039089,0,0,Mup13,NA
100039116,0,0,Mup14,NA
100039120,0,0,Gm14525,NA
100039123,0,0,Gm14295,3.0902075335697115
100039138,2,2,Gm2061,NA
100039139,2,2,Ccdc152,17.939127722803413
100039148,0,0,Gm12128,NA
100039150,0,0,Mup15,NA
100039176,0,0,Gm13580,6.771671366439377
100039177,0,0,Mup16,NA
100039186,6,4+,Gm2087,NA
100039206,0,0,Mup17,NA
100039222,2,2,Gm2109,NA
100039239,0,0,Ctxnd1,NA
100039240,0,0,Gm10058,NA
100039315,0,0,Pramel51,NA
100039319,0,0,H2ab1,NA
100039348,0,0,Gm2176,NA
100039436,0,0,Mageb16-ps1,NA
100039467,0,0,Gm10487,NA
100039495,3,3,Gm15706,29.59707246622061
100039596,10,4+,Tcf24,8.945386532521386
100039641,0,0,E330012B07Rik,NA
100039672,5,4+,Msmp,NA
100039684,14,4+,5031434O11Rik,2.829504047431835
100039691,9,4+,Lncenc1,2051.33071560037
100039706,0,0,Gm2381,22.361595096704384
100039707,0,0,Mthfsl,34.777296809619486
100039727,1,1,1700049E15Rik,NA
100039781,9,4+,Hrct1,NA
100039795,0,0,Ildr2,22.34959909567571
100039796,0,0,Tgtp2,NA
100039801,3,3,Cldn24,NA
100039805,0,0,D5Ertd605e,10.806329273062213
100039864,0,0,Snhg12,275.0818841772274
100039890,0,0,Gm15093,NA
100039911,2,2,Gm2491,NA
100039913,0,0,Rhox2b,NA
100039934,0,0,Gm15085,NA
100039948,7,4+,Rhox2c,NA
100039953,0,0,Gfy,1.8306607849054868
100039954,0,0,Gm2516,NA
100039957,5,4+,Gm2518,NA
100039968,1,1,Tmem35b,28.61128557267348
100040016,0,0,Rhox2e,NA
100040049,0,0,Smim38,NA
100040201,0,0,Krtap6-3,NA
100040208,0,0,Gm2663,NA
100040214,0,0,Krtap6-7,NA
100040233,0,0,Prss3l,NA
100040248,0,0,Krtap4-25,NA
100040268,0,0,Or13c7c,NA
100040276,0,0,Krtap4-22,NA
100040294,1,1,Cbln1os,NA
100040298,0,0,Gm15501,NA
100040299,16,4+,Krtap10-20,NA
100040322,20,4+,3830408C21Rik,3.0514738758103133
100040328,0,0,Gm2716,NA
100040339,3,3,Gm2721,NA
100040421,0,0,Gm2762,1.8654663094319024
100040462,0,0,Mndal,0.9711646324446612
100040482,0,0,Btbd35f2,NA
100040525,0,0,Tmem181c-ps,NA
100040533,0,0,Btbd35f5,NA
100040557,0,0,Gm12408,NA
100040563,0,0,Dynlt1c,1.3705718654699424
100040567,14,4+,Gm12409,NA
100040591,0,0,Kcnj13,NA
100040599,0,0,Potefam3a,NA
100040606,0,0,Btbd35f12,NA
100040608,0,0,Fancf,56.74218335229383
100040617,0,0,Wincr1,NA
100040671,0,0,Gm2897,NA
100040722,0,0,Btbd35f13,NA
100040724,0,0,Mirg,165.08921862192898
100040732,0,0,Btbd35f14,NA
100040736,6,4+,Foxd2os,2.088154888636834
100040766,0,0,Mroh2a,NA
100040769,0,0,Gm15506,NA
100040792,6,4+,Gm11627,71.16904496258034
100040843,0,0,Cyp4a32,NA
100040851,0,0,Gm9767,NA
100040852,0,0,Gm3002,NA
100040861,0,0,Gm13057,NA
100040867,0,0,Gm16405,NA
100040880,0,0,Gm3020,NA
100040882,0,0,1700017G19Rik,NA
100040937,0,0,Cldn34b1,NA
100040944,0,0,Gm3055,NA
100040970,0,0,Rpl14-ps1,NA
100040972,0,0,Tceal7,25.723393110816435
100040999,0,0,Gm3086,NA
100041062,0,0,Gm13286,NA
100041077,5,4+,Pramel61,NA
100041085,0,0,Mfsd4b3-ps,NA
100041096,0,0,Iqcf6,NA
100041099,13,4+,Gm3137,NA
100041108,4,4+,Gm3143,1.8520685869665512
100041151,0,0,Gm3636,NA
100041187,0,0,Or52e19,NA
100041230,0,0,H4c17,NA
100041231,0,0,Gm3219,NA
100041250,1,1,Krtap10-21,NA
100041253,0,0,Pramel60,NA
100041261,0,0,Krtap10-22,NA
100041273,0,0,Ndufb4c,NA
100041281,0,0,Krtap10-23,NA
100041286,1,1,Snhg15,75.98303706574367
100041294,0,0,Supt4b,NA
100041296,0,0,Pramel47,NA
100041306,0,0,Gm3264,NA
100041311,0,0,Gm11978,NA
100041339,0,0,Gm3279,NA
100041347,0,0,Ccdc201,NA
100041351,0,0,Krtap10-24,NA
100041352,0,0,Tcp10c,NA
100041375,0,0,Cyp3a41b,NA
100041379,0,0,Zfp980,260.83618647076753
100041412,0,0,Krtap2-22,NA
100041433,0,0,Zfp981,239.60684439079424
100041449,0,0,Cyp3a59,NA
100041479,0,0,Gm3363,NA
100041480,0,0,Myef2l,NA
100041488,0,0,Krtap2-21,NA
100041515,0,0,Gm3383,NA
100041530,0,0,Gm10409,NA
100041546,0,0,Ly6c2,1.6916809213159472
100041548,3,3,Gm3402,NA
100041554,0,0,Gm3404,NA
100041562,0,0,Gm14762,NA
100041566,0,0,Gm3409,NA
100041574,0,0,Ermardl2,NA
100041579,21,4+,Gm20878,NA
100041581,9,4+,Zkscan16,NA
100041585,9,4+,Amd2,23.64766274440531
100041586,5,4+,Dynlt2a3,NA
100041596,0,0,Gal3st2b,NA
100041605,0,0,Gm3428,NA
100041618,0,0,Gm3434,NA
100041621,0,0,Ermardl1,NA
100041639,5,4+,Dynlt2a2,NA
100041655,35,4+,Gm10863,NA
100041658,0,0,Mup7,NA
100041677,0,0,Zfp984,97.0721153041983
100041678,0,0,Gm3500,NA
100041687,0,0,Mup8,NA
100041688,0,0,Defa35,NA
100041694,0,0,Ppp1r36dn,NA
100041722,0,0,1700049E17Rik2,NA
100041724,0,0,Gm15217,NA
100041759,0,0,Defa41,NA
100041774,0,0,Gm10413,NA
100041787,0,0,Defa40,NA
100041805,0,0,Gm3519,NA
100041811,0,0,Defa27,NA
100041840,0,0,Gm10408,NA
100041874,0,0,Gm3558,NA
100041890,0,0,Defa32,NA
100041895,0,0,Defa37,NA
100041952,0,0,Defa34,NA
100041953,3,3,Sap18b,12.127493277261944
100041965,15,4+,Oaz1-ps,NA
100041979,0,0,Gm3604,25.203348644558748
100042049,0,0,Gm15421,NA
100042055,0,0,Gm10377,NA
100042056,0,0,9130019P16Rik,NA
100042065,0,0,Gm3646,NA
100042132,13,4+,Gm12371,NA
100042143,6,4+,Gm3693,NA
100042149,0,0,Gm3696,NA
100042150,0,0,Nrg2,1.723622997826949
100042165,0,0,Thoc2l,NA
100042166,0,0,Gm3704,NA
100042173,3,3,Rps15a-ps6,NA
100042194,0,0,Gm13446,NA
100042198,0,0,Gm3716,3.8019874916774854
100042254,0,0,Btbd35f4,NA
100042275,0,0,Btbd35f27,NA
100042291,0,0,Gm3772,NA
100042295,0,0,Gsta13,NA
100042314,0,0,Gsta5,NA
100042332,13,4+,Reno1,NA
100042342,0,0,Gm10375,NA
100042415,0,0,Mnd1-ps,NA
100042437,0,0,Vmn1r79,NA
100042450,0,0,Smim17,NA
100042480,2,2,Nhsl2,19.12730994612656
100042498,18,4+,Mir22hg,54.95750397820454
100042499,3,3,Vmn2r55,NA
100042514,0,0,Sprr2a3,14.72724466398039
100042584,0,0,Gm16523,NA
100042591,0,0,Vmn2r31,NA
100042605,13,4+,Rbakdn,6.902290808295658
100042636,0,0,Vmn2r34,NA
100042639,0,0,Gm3942,NA
100042653,0,0,Vmn2r36,NA
100042715,2,2,Gm3985,NA
100042757,0,0,Gm4013,1.2812108348682436
100042781,0,0,Vmn2r40,NA
100042782,0,0,Fthl17d,NA
100042784,7,4+,Prdm11,13.68953584161294
100042807,0,0,Eif3j2,318.03114340585364
100042810,0,0,Vmn2r45,NA
100042814,0,0,Apol7d,6.246614234921148
100042848,0,0,Vmn2r41,NA
100042855,1,1,Gm10267,NA
100042856,0,0,Gvin2,NA
100042889,8,4+,C920021L13Rik,0.9358620867466504
100042891,0,0,Vmn2r47,NA
100042894,0,0,Vmn2r46,NA
100042921,0,0,Vmn2r51,NA
100042922,0,0,H2al1a,NA
100042926,0,0,Gm13546,6.810310876152154
100042927,0,0,H2al1b,NA
100042931,0,0,H2al1d,NA
100042943,0,0,H2al1g,NA
100042948,12,4+,Gm15760,NA
100042964,0,0,Vmn1r243,NA
100042966,0,0,Vmn1r-ps79,NA
100042968,0,0,Vmn1r101,NA
100042982,0,0,Gm4146,NA
100042996,0,0,Vmn1r114,NA
100043013,0,0,Vmn1r126,NA
100043016,0,0,Vmn1r131,NA
100043019,0,0,Vmn1r247,NA
100043033,0,0,Gm16451,NA
100043034,0,0,Rex2,28.563409243440507
100043037,0,0,Vmn1r250,NA
100043040,15,4+,1110002L01Rik,61.68891767928996
100043043,0,0,Vmn1r253,NA
100043057,0,0,Tmem207,NA
100043058,0,0,Gm10665,NA
100043061,0,0,Vmn1r256,NA
100043065,0,0,6030469F06Rik,NA
100043067,0,0,Vmn1r158,NA
100043079,0,0,Vmn1r258,NA
100043083,0,0,Vmn1r259,NA
100043088,0,0,Vmn1r166,NA
100043092,3,3,Gm4224,NA
100043101,0,0,Vmn1r168,NA
100043102,6,4+,4632428C04Rik,NA
100043103,0,0,Vmn1r169,NA
100043108,0,0,Cyp2c69,4.14015301730548
100043123,2,2,Cd300ld4,NA
100043125,0,0,Cd300ld5,NA
100043132,0,0,Gm4251,NA
100043133,0,0,Zfp696,NA
100043150,0,0,Gm4265,NA
100043169,4,4+,Gm4278,NA
100043180,0,0,Gm28269,NA
100043188,1,1,Spopfm2,NA
100043189,0,0,Gm4285,4.158755653463199
100043194,0,0,Sult2a2,NA
100043200,0,0,Or10u4,NA
100043213,0,0,5330434G04Rik,NA
100043216,0,0,Gm4297,NA
100043224,0,0,Alyreffm4,NA
100043229,0,0,Gm10046,NA
100043231,0,0,Alyreffm6,NA
100043232,0,0,3110099E03Rik,NA
100043247,0,0,Alyreffm9,NA
100043254,0,0,Nps,NA
100043272,0,0,Inafm2,14.71763301332368
100043300,0,0,Esp16,NA
100043305,13,4+,Gm4349,NA
100043309,0,0,4732414G09Rik,NA
100043314,0,0,Tigit,1.1977794959702306
100043315,0,0,LOC100043315,NA
100043326,0,0,Scgb2b3,NA
100043332,0,0,Ankrd66,NA
100043381,0,0,Gm14308,1.404537769044433
100043387,0,0,Gm14305,5.441782278331462
100043416,0,0,Gm4425,2.917485671199897
100043424,0,0,Morrbid,48.72452389584342
100043434,0,0,Gm4432,NA
100043450,0,0,AA387883,NA
100043456,0,0,Hsd3b8,NA
100043468,0,0,Zfp955b,87.87249666762612
100043474,0,0,Or10h5,NA
100043489,2,2,1300002E11Rik,36.87378090774719
100043497,0,0,Nat8f7,NA
100043507,5,4+,Gng5-ps,NA
100043513,0,0,Gm4489,NA
100043523,0,0,Vmn1r242,NA
100043536,0,0,Vmn1r100,NA
100043566,0,0,Gm10668,NA
100043569,0,0,Vmn1r112,NA
100043580,0,0,Gm4532,NA
100043582,0,0,AU016765,NA
100043597,16,4+,Srcap,51.156523045009706
100043609,0,0,Gm14207,NA
100043614,0,0,Vmn1r137,NA
100043627,11,4+,Krtap5-20,NA
100043636,0,0,Slfnlnc,NA
100043644,3,3,Gm4566,NA
100043682,7,4+,Gm10584,NA
100043684,0,0,Amy2a4,NA
100043686,0,0,Amy2a3,NA
100043688,0,0,Amy2a2,NA
100043706,1,1,Gm4598,0.5701111903279361
100043757,5,4+,Zfp831,NA
100043765,2,2,Gm4632,NA
100043766,3,3,Gm14057,NA
100043772,0,0,Zfp850,223.8868986885832
100043793,6,4+,Gm4651,NA
100043813,0,0,Rps27rt,3067.6219946172746
100043817,0,0,Gm4668,NA
100043827,0,0,Scgb2b1,NA
100043836,0,0,Scgb2b7,NA
100043842,0,0,Scgb2b11,NA
100043856,0,0,Scgb2b18,NA
100043860,0,0,Scgb1b24,NA
100043861,3,3,Klrb1,NA
100043868,3,3,Scgb1b30,NA
100043885,0,0,Gm4710,NA
100043899,1,1,R3hdml,13.925831260187213
100043902,0,0,Six3os1,2.871239125840624
100043904,0,0,Gm4719,NA
100043911,0,0,Ppp4r1l-ps,NA
100043946,0,0,Gm14635,NA
100044193,0,0,Gm20939,40.94322404414899
100044509,0,0,Tgfbr3l,1.9171837632260968
100045066,0,0,Gm17767,1.6897777499233746
100045469,21,4+,Gm14204,NA
100045792,4,4+,Ect2l,NA
100047123,8,4+,Gm15743,NA
100047133,0,0,Gm16894,NA
100048534,1,1,Cfap43,3.080014576887701
100048658,19,4+,Ddx43,65.41080927936933
100048701,0,0,AI847159,4.106555906376155
100048884,0,0,Mup18,NA
100048895,0,0,9330020H09Rik,7.112993121798998
100049161,0,0,Gm13032,NA
100049545,0,0,Mir741,NA
100049546,0,0,Mir743,NA
100049547,0,0,Mir804,NA
100049548,0,0,Mir742,NA
100049549,5,4+,Mir181d,NA
100049710,9,4+,Mir290a,NA
100049711,9,4+,Mir292,NA
100049712,7,4+,Mir294,NA
100049713,7,4+,Mir295,NA
100049714,8,4+,Mir293,NA
100049715,9,4+,Mir291a,NA
100061,0,0,Lrrc19,NA
100066,0,0,Cyp2j11,NA
100072,0,0,Camta1,348.11107885582777
100073351,0,0,Yy2,NA
100087,2,2,Kti12,188.48925555490197
100088,5,4+,Rcc1,436.910240515668
100090,0,0,Zbtb48,32.58053330077029
100093700,0,0,Gm10400,NA
100093714,0,0,Gm12296,NA
100101457,0,0,A830035O19Rik,NA
100101806,0,0,Srp54c,4.934642967143441
100101807,0,0,Fam177a2,NA
100101919,0,0,Dnah7c,2.1044187518480624
100102,12,4+,Pcsk9,6.002127866250496
100113364,2,2,Snora15,NA
100113394,0,0,Astx5,NA
100113398,3,3,Adat3,NA
100121,0,0,Tdrd7,12.81663357792416
100124431,0,0,Mir18b,NA
100124432,0,0,Mir193b,NA
100124433,0,0,Mir208b,NA
100124437,0,0,Mir327,NA
100124438,0,0,Mir343,NA
100124439,0,0,Mir344-2,NA
100124440,0,0,Mir465b-2,NA
100124441,0,0,Mir465c-1,NA
100124442,0,0,Mir466b-2,NA
100124443,0,0,Mir466c-1,NA
100124447,0,0,Mir467d,NA
100124449,0,0,Mir509,NA
100124450,0,0,Mir544,NA
100124451,18,4+,Mir574,NA
100124452,3,3,Mir598,NA
100124453,0,0,Mir654,NA
100124456,0,0,Mir872,NA
100124457,0,0,Mir873a,NA
100124458,0,0,Mir876,NA
100124459,0,0,Mir877,NA
100124460,0,0,Mir881,NA
100124461,0,0,Mir882,NA
100124462,0,0,Mir883a,NA
100124463,0,0,Mir105,NA
100124466,8,4+,Mir493,NA
100124467,0,0,Mir568,NA
100124468,0,0,Mir653,NA
100124469,0,0,Mir875,NA
100124470,33,4+,Mir92b,NA
100124471,9,4+,Mir291b,NA
100124473,0,0,Mir465b-1,NA
100124474,0,0,Mir466b-3,NA
100124476,0,0,Mir504,NA
100124478,0,0,Mir871,NA
100124479,0,0,Mir878,NA
100124480,0,0,Mir880,NA
100124481,4,4+,Mir190b,NA
100124484,0,0,Mir453,NA
100124485,0,0,Mir466b-1,NA
100124487,0,0,Mir467c,NA
100124488,0,0,Mir511,NA
100124489,0,0,Mir582,NA
100124491,0,0,Mir874,NA
100124492,0,0,Mir879,NA
100124493,0,0,Mir883b,NA
100124494,0,0,Mir421,NA
100124495,0,0,Mir466g,NA
100124496,0,0,Mir743b,NA
100124625,0,0,Mir467a-4,NA
100124626,0,0,Mir467a-5,NA
100124640,0,0,Mir466e,NA
100124642,0,0,Mir467a-3,NA
100124643,0,0,Mir467a-8,NA
100124649,0,0,Mir683-2,NA
100124668,0,0,Mir466c-2,NA
100125339,0,0,A230020J21Rik,NA
100125586,1,1,Vmn2r2,NA
100125594,0,0,LOC100125594,NA
100125929,23,4+,0610009E02Rik,7.562619622930645
100125931,0,0,Phtf1os,8.467617587818978
100126203,0,0,6820426E19Rik,NA
100126224,0,0,Gm11747,NA
100126226,0,0,Krt83,NA
100126227,4,4+,Gm13031,NA
100126242,7,4+,Frs3os,5.486615141786402
100126243,6,4+,A030001D20Rik,NA
100126244,0,0,Gm13262,NA
100126269,10,4+,BC048602,NA
100126692,0,0,B020018J22Rik,NA
100126765,0,0,Esp36,NA
100126766,0,0,Esp3,NA
100126768,0,0,Esp31,NA
100126773,0,0,Esp34,NA
100126774,0,0,Esp18,NA
100126775,0,0,Esp38,NA
100126776,0,0,Esp24,2.4031173223161435
100126777,0,0,Esp4,0.6135826695985095
100126778,0,0,Esp8,1.2374218414841038
100126779,0,0,Esp23,NA
100126795,1,1,Gm10575,3.178970025371462
100126824,6,4+,Sco2,206.6154778330769
100127111,2,2,Snord22,NA
100127433,0,0,Gm11532,1.0007461895505247
100129,0,0,Gpr153,45.01144150244173
100134861,1,1,Gm44502,NA
100134990,0,0,Selenok-ps1,1.2599804380105344
100135654,0,0,Rhox3c,NA
100135657,0,0,Rhox3e,NA
100141474,0,0,4933428G20Rik,0.6185624172695748
100151693,6,4+,Gm10364,NA
100155,0,0,Shoc1,4.3857755372536795
100163,0,0,Pafah2,67.0751854426957
100165,0,0,AI507597,NA
100169,0,0,Phactr4,184.8094158616171
100169864,0,0,Gm44504,NA
100169874,26,4+,Gm11110,2.398938751965391
100169878,0,0,Gm10941,1.4296112254694389
100170401,0,0,EU599041,8.069200968809119
100174921,0,0,4930505N22Rik,NA
100177,2,2,Zmym6,6.228256349323283
100182,0,0,Akna,46.09608966204425
100189605,0,0,Mup19,NA
100190765,0,0,Mir449b,NA
100191037,0,0,Krtap10-4,NA
100196896,0,0,BC048559,1.4500394820591784
100198,2,2,H6pd,35.47103552817471
100201,23,4+,Tmem64,661.8535850023248
100206,12,4+,Adprs,NA
100210,2,2,Gpn2,23.965633939822855
100213,26,4+,Rusc2,23.163543556421057
100216455,0,0,Zfp1005,NA
100216474,7,4+,Ttll2,NA
100216530,4,4+,Snord118,NA
100216531,0,0,Snord1b,NA
100216532,6,4+,Snord2,NA
100216533,0,0,Snord55,NA
100216534,0,0,Snord96a,NA
100216535,0,0,Scarna9,NA
100216536,0,0,Snord1c,NA
100216537,3,3,Snord104,NA
100216538,0,0,Snord1a,NA
100216539,0,0,Snord4a,NA
100216540,0,0,Snord95,NA
100217413,4,4+,Scarna10,NA
100217414,0,0,Scarna3a,NA
100217415,1,1,Scarna6,NA
100217416,4,4+,Snora2b,NA
100217417,0,0,Snora34,NA
100217418,0,0,Snora44,NA
100217419,0,0,Snora52,NA
100217420,0,0,Snora81,NA
100217421,1,1,Snord11,NA
100217422,0,0,Snord13,NA
100217423,0,0,Snord19,NA
100217424,0,0,Snord38a,NA
100217425,0,0,Snord45c,NA
100217426,0,0,Snord49b,NA
100217427,8,4+,Snord52,NA
100217428,0,0,Snord57,NA
100217429,0,0,Snord64,NA
100217430,0,0,Snord66,NA
100217431,0,0,Snord69,NA
100217432,0,0,Snord71,NA
100217433,1,1,Snord88a,NA
100217434,0,0,Snord88c,NA
100217435,0,0,Snord90,NA
100217436,8,4+,Snord93,NA
100217437,0,0,Snord99,NA
100217438,11,4+,Scarna2,NA
100217440,0,0,Snora61,NA
100217441,14,4+,Snord23,NA
100217442,3,3,Snora30,NA
100217443,5,4+,Snord12,NA
100217444,0,0,Snord65,NA
100217445,0,0,Snord8,NA
100217446,0,0,Snord47,NA
100217447,0,0,Scarna3b,NA
100217448,1,1,Scarna8,NA
100217449,0,0,Snora36b,NA
100217450,0,0,Snora47,NA
100217451,0,0,Snora7a,NA
100217452,1,1,Snord110,NA
100217453,6,4+,Snord16a,NA
100217454,9,4+,Snord37,NA
100217455,0,0,Snord49a,NA
100217456,0,0,Snord53,NA
100217458,0,0,Snord67,NA
100217459,1,1,Snord70,NA
100217460,4,4+,Snord85,NA
100217461,1,1,Snord89,NA
100217462,0,0,Snord92,NA
100217463,1,1,Snord98,NA
100217464,14,4+,Snora41,NA
100217465,8,4+,Snord111,NA
100217466,0,0,Scarna17,NA
100217467,5,4+,Snora5c,NA
100217468,0,0,Snord45b,NA
100217469,4,4+,Snord91a,NA
100226,0,0,Stx12,339.083658376787
100233175,0,0,Gon7,NA
100233207,0,0,Spmip2,NA
100233208,0,0,Gm10778,NA
100270707,0,0,Gm14379,NA
100270744,9,4+,Btbd18,4.038231721720974
100271704,4,4+,Scpppq1,NA
100271841,0,0,Uckl1os,0.9493270977238012
100271882,0,0,Zfp1004,NA
100271928,0,0,Gm15881,NA
100273,0,0,Osbpl9,311.39209720763745
100286843,0,0,Gm16325,NA
100294583,0,0,Alkal2,0.9903457307041076
100294660,0,0,Defa2,NA
100302498,2,2,Snora21,NA
100302499,0,0,Snora3,NA
100302529,0,0,Snord72,NA
100302565,19,4+,Snord68,NA
100302567,12,4+,AF357399,NA
100302600,0,0,Snord43,NA
100302601,5,4+,Snord83b,NA
100302634,0,0,Astx6,NA
100302648,0,0,Gm11944,1.1240125115491275
100302688,0,0,Gm17455,NA
100302730,0,0,5830417I10Rik,NA
100303644,0,0,Actc1dt,NA
100303646,0,0,Gm26922,NA
100303731,0,0,Gm10874,0.7629361791164719
100303736,0,0,Snora35,NA
100303738,14,4+,D030025P21Rik,6.327086693374742
100303740,1,1,Snora75,NA
100303746,0,0,Snora20,NA
100303747,2,2,Gm12238,4.665891027949766
100303751,0,0,Snora31,NA
100306943,14,4+,Scarna13,NA
100306952,16,4+,Snora78,NA
100306954,0,0,Snora17,NA
100306955,0,0,Snora43,NA
100306957,0,0,Snora24,NA
100310813,0,0,Snora16a,NA
100310872,0,0,Dynlt1a,35.68453265597332
100312470,0,0,Vmn1r2,NA
100312471,0,0,Vmn1r3,NA
100312473,0,0,Vmn1r86,12.209659794973874
100312474,0,0,Vmn1r88,4.555338514832294
100312476,0,0,Vmn1r238,NA
100312477,0,0,Vmn1r184,NA
100312484,0,0,Vmn1r196,NA
100312485,0,0,Vmn1r221,NA
100312948,0,0,Pate8,NA
100312949,0,0,Pate10,NA
100312956,0,0,Pate3,NA
100312986,0,0,Pate7,NA
100312987,0,0,Pate1,NA
100313519,0,0,Snord17,NA
100313531,7,4+,Nkx2-2os,NA
100313943,2,2,Snora26,NA
100316663,0,0,Mir669k,NA
100316664,0,0,Mir669d,NA
100316665,0,0,Mir466i,NA
100316667,0,0,Mir669f,NA
100316668,0,0,Mir669i,NA
100316669,0,0,Mir1188,NA
100316670,1,1,Mir466k,NA
100316671,0,0,Mir466j,NA
100316672,0,0,Mir1192,NA
100316673,6,4+,Mir1193,NA
100316674,2,2,Mir467g,NA
100316675,0,0,Mir467h,NA
100316676,0,0,Mir1195,NA
100316677,0,0,Mir1199,NA
100316678,0,0,Mir1902,NA
100316679,0,0,Mir1897,NA
100316680,0,0,Mir1903,NA
100316681,7,4+,Mir1900,NA
100316682,0,0,Mir1892,NA
100316683,3,3,Mir1904,NA
100316684,0,0,Mir1898,NA
100316685,0,0,Mir1907,NA
100316686,0,0,Mir1901,NA
100316687,0,0,Mir1928,NA
100316688,6,4+,Mir1929,NA
100316689,8,4+,Mir1931,NA
100316690,0,0,Mir1932,NA
100316693,4,4+,Mir1938,NA
100316694,4,4+,Mir1941,NA
100316695,3,3,Mir1943,NA
100316697,0,0,Mir1946a,NA
100316698,0,0,Mir1947,NA
